City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
488,khadan khak,30.7477,67.7085,292.64,35,96,1.92,PK,1684164701
489,buon ma thuot,12.6667,108.05,295.86,92,76,1.04,VN,1684164701
490,lapinlahti,65.5833,30.5667,289.04,53,77,2.54,RU,1684164702
491,masterton,-40.9597,175.6575,281.42,96,96,2.25,NZ,1684164702
492,bollnas,61.3482,16.3946,288.84,67,98,1.76,SE,1684164654
493,caluula,11.9661,50.7569,302.57,69,17,1.21,SO,1684164702
494,pasni,25.2631,63.471,301.69,88,0,3.38,PK,1684164702
495,novyy urengoy,66.0833,76.6333,271.6,95,97,7.39,RU,1684164703
496,tvoroyri,61.5556,-6.8111,281.51,84,83,10.58,FO,1684164703
497,newman,37.3138,-121.0208,291.34,58,0,1.75,US,1684164703
498,tofol,5.3248,163.0078,301.7,76,100,8.1,FM,1684164703
499,iranshahr,27.2025,60.6848,311.34,9,0,4.12,IR,1684164440
500,kakori,26.8833,80.8,306.12,40,0,2.06,IN,1684164704
501,karystos,38.0133,24.4161,297.14,48,100,0.72,GR,1684164704
502,las veredas,23.1388,-109.7075,298.69,64,0,2.06,MX,1684164704
503,colares,38.7992,-9.4469,296.97,59,20,11.83,PT,1684164705
504,rio branco,-9.9747,-67.81,302.49,70,20,4.12,BR,1684164632
505,nagqu,31.5,92.0,277.01,44,100,3.37,CN,1684164705
506,laguna,38.421,-121.4238,295.38,75,0,2.57,US,1684164705
507,aksu,41.1231,80.2644,298.84,16,0,2.21,CN,1684164706
508,tamanrasset,22.785,5.5228,306.1,11,36,9.26,DZ,1684164706
509,brokopondo,4.75,-55.1667,303.01,66,99,1.48,SR,1684164706
510,jaisalmer,26.9147,70.9181,308.72,22,55,6.7,IN,1684164706
511,xianju,28.85,120.7333,291.59,73,99,1.56,CN,1684164706
512,aripuana,-9.1667,-60.6333,305.86,44,65,1.5,BR,1684164707
513,mareeba,-17.0,145.4333,295.55,91,48,0.8,AU,1684164707
514,anna regina,7.2644,-58.5077,300.86,80,94,4.45,GY,1684164707
515,petropavlovka,50.6114,105.3196,274.66,85,61,1.24,RU,1684164707
516,lionel town,17.8101,-77.2406,304.01,58,99,6.07,JM,1684164708
517,nobeoka,32.5833,131.6667,289.24,80,25,1.87,JP,1684164708
518,turpan,42.9333,89.1667,301.26,24,58,3.05,CN,1684164708
519,pindushi,62.9152,34.58,289.92,42,57,2.8,RU,1684164708
520,kralendijk,12.15,-68.2667,304.14,66,75,8.75,BQ,1684164708
521,copiapo,-27.3667,-70.3333,297.31,47,4,2.37,CL,1684164709
522,soe,-9.8607,124.284,288.8,93,59,1.26,ID,1684164709
523,sangmelima,2.9333,11.9833,299.5,76,100,0.98,CM,1684164709
524,berkhamsted,51.7604,-0.5653,289.27,50,63,5.14,GB,1684164709
525,ambilobe,-13.2,49.05,297.44,82,43,1.25,MG,1684164709
526,garachico,28.7781,-17.7646,294.53,60,40,7.2,ES,1684164710
527,kushiro,42.975,144.3747,281.02,98,99,2.33,JP,1684164710
528,takoradi,4.8845,-1.7554,300.28,77,100,3.91,GH,1684164710
529,lerwick,60.1545,-1.1494,284.15,71,9,6.56,GB,1684164711
530,khandyga,62.6667,135.6,277.53,86,100,3.18,RU,1684164711
531,birao,10.2849,22.7882,313.88,13,38,1.13,CF,1684164711
532,kerema,-7.9631,145.7785,298.67,88,100,2.0,PG,1684164711
533,makokou,0.5738,12.8642,301.2,70,64,1.81,GA,1684164712
534,baikonur,45.6167,63.3167,291.2,52,100,6.22,KZ,1684164712
535,milici,44.1711,19.0903,286.8,94,100,0.22,BA,1684164712
536,rongelap,11.1635,166.8941,300.56,79,80,6.32,MH,1684164712
537,hamamatsu,34.7,137.7333,289.78,86,42,1.8,JP,1684164438
538,grand baie,-20.0182,57.5802,298.41,76,10,0.45,MU,1684164712
539,eirunepe,-6.6603,-69.8736,304.97,54,69,2.04,BR,1684164713
540,phongsali,21.6833,102.1058,288.39,99,70,0.88,LA,1684164713
541,brisas de zicatela,15.8369,-97.0419,304.44,79,75,3.6,MX,1684164713
542,madalena,41.2162,-8.3345,298.57,52,36,5.03,PT,1684164714
543,isabel segunda,18.1491,-65.4427,302.92,73,100,5.71,PR,1684164714
544,ulanhot,46.0833,122.0833,284.52,12,80,2.24,CN,1684164714
545,nacala,-14.5428,40.6728,299.77,69,40,4.12,MZ,1684164714
546,banda aceh,5.5577,95.3222,300.58,79,28,4.3,ID,1684164714
547,bryne,58.7354,5.6477,283.67,80,75,6.17,NO,1684164507
548,kazanskoye,55.6448,69.235,286.25,58,99,3.16,RU,1684164715
549,sparti,37.0733,22.4297,297.01,49,100,1.42,GR,1684164715
550,baki,-7.6128,110.7839,296.05,82,60,3.24,ID,1684164715
551,union city,37.5958,-122.0192,290.42,81,100,2.24,US,1684164715
552,greymouth,-42.4667,171.2,279.86,89,8,2.25,NZ,1684164716
553,karasburg,-28.0167,18.75,289.79,37,0,4.34,NA,1684164716
554,yuncheng,35.0231,110.9928,298.68,38,100,3.96,CN,1684164444
555,vernon,50.2581,-119.2691,298.21,37,0,1.54,CA,1684164716
556,karratha,-20.7377,116.8463,294.92,39,0,3.73,AU,1684164717
557,inderbor,48.55,51.7833,292.46,36,100,3.74,KZ,1684164717
558,harper,4.375,-7.7169,301.19,77,94,4.55,LR,1684164717
559,el granada,37.5027,-122.4694,289.93,86,100,4.63,US,1684164717
560,santa marta,11.2408,-74.199,305.18,70,40,3.09,CO,1684164718
561,urangan,-25.3,152.9,294.45,86,86,6.52,AU,1684164718
562,ramanuj ganj,23.8,83.7,302.98,17,4,1.27,IN,1684164718
563,namibe,-15.1961,12.1522,296.2,70,30,4.52,AO,1684164718
564,marsa alam,25.0757,34.8918,301.71,48,0,1.28,EG,1684164560
565,prado,-17.3411,-39.2208,299.96,72,46,1.65,BR,1684164719
566,rockwall,32.9001,-96.4003,300.25,78,98,0.89,US,1684164719
567,yamada,39.4667,141.95,284.96,97,100,1.3,JP,1684164719
568,bubaque,11.2833,-15.8333,300.1,69,100,7.19,GW,1684164719
569,tartu,58.3806,26.7251,296.66,31,20,6.17,EE,1684164720
